timestamp,source,type,title/text,sentiment,unemployment_rate,cpi,sp500,url,publishedAt
2024-01-01 00:00:00,CNBC,news,Federal Reserve signals possible interest rate cut next quarter,-0.51,3.92,257.17,4462.87,https://example.com/article/0,2024-01-01T00:00:00Z
2024-01-01 00:30:00,Financial Times,news,Crypto market sees renewed volatility,-0.936,3.78,266.29,4282.62,https://example.com/article/1,2024-01-01T00:30:00Z
2024-01-01 01:00:00,Financial Times,news,Central bank warns of inflation risks,-0.559,5.27,306.66,3508.45,https://example.com/article/2,2024-01-01T01:00:00Z
2024-01-01 01:30:00,CNBC,news,Consumer confidence hits record high,-0.444,4.15,303.44,3632.87,https://example.com/article/3,2024-01-01T01:30:00Z
2024-01-01 02:00:00,Twitter,twitter,Not sure if the Fed cutting rates is good long term ðŸ¤”,-0.282,4.53,268.52,3556.49,https://example.com/article/4,2024-01-01T02:00:00Z
2024-01-01 02:30:00,Twitter,twitter,Gold going up means fear is back.,-0.75,6.27,255.52,3881.13,https://example.com/article/5,2024-01-01T02:30:00Z
2024-01-01 03:00:00,Twitter,twitter,CPI numbers tomorrow. Brace yourselves.,-0.615,3.71,296.29,4504.99,https://example.com/article/6,2024-01-01T03:00:00Z
2024-01-01 03:30:00,Bloomberg,news,Gold surges as investors seek safe haven assets,-0.24,4.86,308.39,3711.45,https://example.com/article/7,2024-01-01T03:30:00Z
2024-01-01 04:00:00,Twitter,twitter,Feeling nervous about this volatility in crypto ðŸ˜¬,0.34,5.61,297.85,3592.82,https://example.com/article/8,2024-01-01T04:00:00Z
2024-01-01 04:30:00,Reuters,news,Central bank warns of inflation risks,-0.673,4.64,319.27,4332.0,https://example.com/article/9,2024-01-01T04:30:00Z
2024-01-01 05:00:00,Bloomberg,news,Unemployment rate drops to lowest level in a decade,-0.542,3.6,272.08,3848.06,https://example.com/article/10,2024-01-01T05:00:00Z
2024-01-01 05:30:00,CNBC,news,Crypto market sees renewed volatility,-0.575,5.0,311.93,4335.71,https://example.com/article/11,2024-01-01T05:30:00Z
2024-01-01 06:00:00,Reuters,news,US housing market shows signs of cooling down,-0.507,5.18,268.39,4259.96,https://example.com/article/12,2024-01-01T06:00:00Z
2024-01-01 06:30:00,Twitter,twitter,"Unemployment down, but inflation is still high...",-0.561,6.49,285.67,3618.18,https://example.com/article/13,2024-01-01T06:30:00Z
2024-01-01 07:00:00,Reuters,news,Stock markets rally as tech giants post strong earnings,0.255,5.88,279.55,3582.59,https://example.com/article/14,2024-01-01T07:00:00Z
2024-01-01 07:30:00,Twitter,twitter,CPI numbers tomorrow. Brace yourselves.,0.992,5.09,317.98,4619.01,https://example.com/article/15,2024-01-01T07:30:00Z
2024-01-01 08:00:00,MarketWatch,news,Stock markets rally as tech giants post strong earnings,0.502,5.81,273.81,3881.55,https://example.com/article/16,2024-01-01T08:00:00Z
2024-01-01 08:30:00,Bloomberg,news,Global supply chain disruptions continue to weigh on markets,0.908,6.13,268.44,4150.76,https://example.com/article/17,2024-01-01T08:30:00Z
2024-01-01 09:00:00,Bloomberg,news,Central bank warns of inflation risks,0.741,4.4,294.73,4291.66,https://example.com/article/18,2024-01-01T09:00:00Z
2024-01-01 09:30:00,Reuters,news,Unemployment rate drops to lowest level in a decade,0.079,5.84,287.12,3500.74,https://example.com/article/19,2024-01-01T09:30:00Z
2024-01-01 10:00:00,Twitter,twitter,Tech earnings smashing expectations!,-0.961,6.29,311.51,4581.17,https://example.com/article/20,2024-01-01T10:00:00Z
2024-01-01 10:30:00,Twitter,twitter,Feeling nervous about this volatility in crypto ðŸ˜¬,-0.884,6.13,316.29,3611.35,https://example.com/article/21,2024-01-01T10:30:00Z
2024-01-01 11:00:00,Twitter,twitter,Not sure if the Fed cutting rates is good long term ðŸ¤”,0.956,5.1,258.8,4357.68,https://example.com/article/22,2024-01-01T11:00:00Z
2024-01-01 11:30:00,MarketWatch,news,US housing market shows signs of cooling down,0.745,4.77,264.83,4201.08,https://example.com/article/23,2024-01-01T11:30:00Z
2024-01-01 12:00:00,Financial Times,news,US housing market shows signs of cooling down,0.99,5.45,280.67,4172.85,https://example.com/article/24,2024-01-01T12:00:00Z
2024-01-01 12:30:00,Reuters,news,Gold surges as investors seek safe haven assets,-0.872,3.56,288.77,4264.97,https://example.com/article/25,2024-01-01T12:30:00Z
2024-01-01 13:00:00,Bloomberg,news,Stock markets rally as tech giants post strong earnings,-0.542,6.22,310.17,3592.11,https://example.com/article/26,2024-01-01T13:00:00Z
2024-01-01 13:30:00,Financial Times,news,US housing market shows signs of cooling down,-0.572,3.9,315.49,4242.36,https://example.com/article/27,2024-01-01T13:30:00Z
2024-01-01 14:00:00,Twitter,twitter,Feeling nervous about this volatility in crypto ðŸ˜¬,0.569,5.92,263.33,3626.01,https://example.com/article/28,2024-01-01T14:00:00Z
2024-01-01 14:30:00,Twitter,twitter,"Unemployment down, but inflation is still high...",-0.153,4.9,301.04,4375.37,https://example.com/article/29,2024-01-01T14:30:00Z
2024-01-01 15:00:00,Financial Times,news,Federal Reserve signals possible interest rate cut next quarter,0.456,5.9,257.65,3749.07,https://example.com/article/30,2024-01-01T15:00:00Z
2024-01-01 15:30:00,Twitter,twitter,Oil prices are climbing again. Expect higher gas prices soon.,-0.156,4.34,267.49,4700.25,https://example.com/article/31,2024-01-01T15:30:00Z
2024-01-01 16:00:00,Twitter,twitter,Gold going up means fear is back.,-0.804,5.46,287.84,3519.19,https://example.com/article/32,2024-01-01T16:00:00Z
2024-01-01 16:30:00,Reuters,news,Gold surges as investors seek safe haven assets,-0.187,4.94,310.53,4673.18,https://example.com/article/33,2024-01-01T16:30:00Z
2024-01-01 17:00:00,Bloomberg,news,Consumer confidence hits record high,0.971,4.3,304.88,4091.51,https://example.com/article/34,2024-01-01T17:00:00Z
2024-01-01 17:30:00,Twitter,twitter,Gold going up means fear is back.,0.324,4.96,263.29,3783.01,https://example.com/article/35,2024-01-01T17:30:00Z
2024-01-01 18:00:00,MarketWatch,news,Crypto market sees renewed volatility,-0.878,4.44,253.51,4119.83,https://example.com/article/36,2024-01-01T18:00:00Z
2024-01-01 18:30:00,MarketWatch,news,Federal Reserve signals possible interest rate cut next quarter,-0.84,4.06,291.65,4377.78,https://example.com/article/37,2024-01-01T18:30:00Z
2024-01-01 19:00:00,Bloomberg,news,Consumer confidence hits record high,0.883,5.21,290.52,3551.66,https://example.com/article/38,2024-01-01T19:00:00Z
2024-01-01 19:30:00,MarketWatch,news,Consumer confidence hits record high,0.13,4.45,268.25,4370.64,https://example.com/article/39,2024-01-01T19:30:00Z
2024-01-01 20:00:00,Twitter,twitter,Feeling nervous about this volatility in crypto ðŸ˜¬,-0.469,3.89,295.19,4094.39,https://example.com/article/40,2024-01-01T20:00:00Z
2024-01-01 20:30:00,Financial Times,news,Federal Reserve signals possible interest rate cut next quarter,0.242,5.19,257.0,4198.92,https://example.com/article/41,2024-01-01T20:30:00Z
2024-01-01 21:00:00,Twitter,twitter,Oil prices are climbing again. Expect higher gas prices soon.,0.867,6.14,311.55,3980.39,https://example.com/article/42,2024-01-01T21:00:00Z
2024-01-01 21:30:00,MarketWatch,news,Global supply chain disruptions continue to weigh on markets,0.407,5.34,319.11,4350.17,https://example.com/article/43,2024-01-01T21:30:00Z
2024-01-01 22:00:00,CNBC,news,Central bank warns of inflation risks,0.864,3.81,311.47,3843.81,https://example.com/article/44,2024-01-01T22:00:00Z
2024-01-01 22:30:00,Reuters,news,Central bank warns of inflation risks,-0.455,5.31,300.23,3764.68,https://example.com/article/45,2024-01-01T22:30:00Z
2024-01-01 23:00:00,Twitter,twitter,Gold going up means fear is back.,-0.023,6.22,309.23,3619.99,https://example.com/article/46,2024-01-01T23:00:00Z
2024-01-01 23:30:00,Twitter,twitter,SP500 breakout incoming ðŸ”¥,-0.912,4.5,259.16,4773.74,https://example.com/article/47,2024-01-01T23:30:00Z
2024-01-02 00:00:00,MarketWatch,news,Global supply chain disruptions continue to weigh on markets,0.411,5.18,257.83,4728.57,https://example.com/article/48,2024-01-02T00:00:00Z
2024-01-02 00:30:00,Bloomberg,news,Central bank warns of inflation risks,0.669,5.25,260.37,3665.68,https://example.com/article/49,2024-01-02T00:30:00Z
2024-01-02 01:00:00,Twitter,twitter,"Unemployment down, but inflation is still high...",0.798,5.89,310.25,4668.6,https://example.com/article/50,2024-01-02T01:00:00Z
2024-01-02 01:30:00,Bloomberg,news,Gold surges as investors seek safe haven assets,-0.293,5.18,311.23,4765.99,https://example.com/article/51,2024-01-02T01:30:00Z
2024-01-02 02:00:00,Reuters,news,Gold surges as investors seek safe haven assets,0.952,5.93,311.7,3532.22,https://example.com/article/52,2024-01-02T02:00:00Z
2024-01-02 02:30:00,Twitter,twitter,Housing market finally cooling. Buyers getting relief?,0.604,6.09,306.75,3846.85,https://example.com/article/53,2024-01-02T02:30:00Z
2024-01-02 03:00:00,Bloomberg,news,Consumer confidence hits record high,0.717,4.17,307.16,4098.39,https://example.com/article/54,2024-01-02T03:00:00Z
2024-01-02 03:30:00,Twitter,twitter,Feeling nervous about this volatility in crypto ðŸ˜¬,-0.554,5.48,277.89,3862.18,https://example.com/article/55,2024-01-02T03:30:00Z
2024-01-02 04:00:00,CNBC,news,US housing market shows signs of cooling down,0.283,4.7,318.68,4197.08,https://example.com/article/56,2024-01-02T04:00:00Z
2024-01-02 04:30:00,CNBC,news,Stock markets rally as tech giants post strong earnings,-0.643,6.39,268.58,3640.92,https://example.com/article/57,2024-01-02T04:30:00Z
2024-01-02 05:00:00,Twitter,twitter,"Unemployment down, but inflation is still high...",0.457,4.44,292.43,4164.85,https://example.com/article/58,2024-01-02T05:00:00Z
2024-01-02 05:30:00,Twitter,twitter,CPI numbers tomorrow. Brace yourselves.,-0.62,3.63,280.52,4175.9,https://example.com/article/59,2024-01-02T05:30:00Z
2024-01-02 06:00:00,Financial Times,news,Unemployment rate drops to lowest level in a decade,-0.86,5.49,273.11,3908.09,https://example.com/article/60,2024-01-02T06:00:00Z
2024-01-02 06:30:00,MarketWatch,news,US housing market shows signs of cooling down,-0.381,4.73,278.17,3884.35,https://example.com/article/61,2024-01-02T06:30:00Z
2024-01-02 07:00:00,Financial Times,news,Gold surges as investors seek safe haven assets,0.33,4.64,302.37,3726.24,https://example.com/article/62,2024-01-02T07:00:00Z
2024-01-02 07:30:00,Twitter,twitter,Housing market finally cooling. Buyers getting relief?,0.096,3.5,270.08,4058.85,https://example.com/article/63,2024-01-02T07:30:00Z
2024-01-02 08:00:00,Twitter,twitter,Tech earnings smashing expectations!,-0.116,5.53,285.78,4531.86,https://example.com/article/64,2024-01-02T08:00:00Z
2024-01-02 08:30:00,CNBC,news,Stock markets rally as tech giants post strong earnings,0.031,5.4,273.46,4563.95,https://example.com/article/65,2024-01-02T08:30:00Z
2024-01-02 09:00:00,Reuters,news,US housing market shows signs of cooling down,0.613,3.94,253.23,4779.12,https://example.com/article/66,2024-01-02T09:00:00Z
2024-01-02 09:30:00,Financial Times,news,Global supply chain disruptions continue to weigh on markets,0.772,5.23,300.28,3999.17,https://example.com/article/67,2024-01-02T09:30:00Z
2024-01-02 10:00:00,Twitter,twitter,Feeling nervous about this volatility in crypto ðŸ˜¬,-0.705,5.56,312.49,4618.57,https://example.com/article/68,2024-01-02T10:00:00Z
2024-01-02 10:30:00,Reuters,news,Consumer confidence hits record high,-0.648,6.37,286.26,3565.28,https://example.com/article/69,2024-01-02T10:30:00Z
2024-01-02 11:00:00,Financial Times,news,Stock markets rally as tech giants post strong earnings,-0.733,4.89,287.18,4226.6,https://example.com/article/70,2024-01-02T11:00:00Z
2024-01-02 11:30:00,Twitter,twitter,Tech earnings smashing expectations!,0.225,5.66,285.33,4579.74,https://example.com/article/71,2024-01-02T11:30:00Z
2024-01-02 12:00:00,Twitter,twitter,Oil prices are climbing again. Expect higher gas prices soon.,0.487,4.92,268.14,3821.41,https://example.com/article/72,2024-01-02T12:00:00Z
2024-01-02 12:30:00,Twitter,twitter,Gold going up means fear is back.,-0.031,4.22,280.79,4427.61,https://example.com/article/73,2024-01-02T12:30:00Z
2024-01-02 13:00:00,CNBC,news,US housing market shows signs of cooling down,-0.361,5.12,259.69,3800.64,https://example.com/article/74,2024-01-02T13:00:00Z
2024-01-02 13:30:00,Bloomberg,news,Gold surges as investors seek safe haven assets,-0.17,4.49,282.61,3580.95,https://example.com/article/75,2024-01-02T13:30:00Z
2024-01-02 14:00:00,Twitter,twitter,Housing market finally cooling. Buyers getting relief?,0.81,5.25,298.69,4613.75,https://example.com/article/76,2024-01-02T14:00:00Z
2024-01-02 14:30:00,Twitter,twitter,Tech earnings smashing expectations!,-0.988,4.56,302.74,4609.48,https://example.com/article/77,2024-01-02T14:30:00Z
2024-01-02 15:00:00,Twitter,twitter,Gold going up means fear is back.,0.495,5.14,292.23,3786.7,https://example.com/article/78,2024-01-02T15:00:00Z
2024-01-02 15:30:00,Financial Times,news,US housing market shows signs of cooling down,-0.029,4.67,296.82,4537.59,https://example.com/article/79,2024-01-02T15:30:00Z
2024-01-02 16:00:00,Reuters,news,Global supply chain disruptions continue to weigh on markets,0.961,5.1,313.49,4269.46,https://example.com/article/80,2024-01-02T16:00:00Z
2024-01-02 16:30:00,Financial Times,news,Stock markets rally as tech giants post strong earnings,-0.729,4.89,253.52,3992.84,https://example.com/article/81,2024-01-02T16:30:00Z
2024-01-02 17:00:00,CNBC,news,Global supply chain disruptions continue to weigh on markets,-0.325,6.14,269.48,4736.57,https://example.com/article/82,2024-01-02T17:00:00Z
2024-01-02 17:30:00,Twitter,twitter,SP500 breakout incoming ðŸ”¥,0.67,4.91,302.43,3567.71,https://example.com/article/83,2024-01-02T17:30:00Z
2024-01-02 18:00:00,Twitter,twitter,Feeling nervous about this volatility in crypto ðŸ˜¬,0.3,5.84,295.62,4480.5,https://example.com/article/84,2024-01-02T18:00:00Z
2024-01-02 18:30:00,Bloomberg,news,Gold surges as investors seek safe haven assets,0.243,4.22,283.15,3648.71,https://example.com/article/85,2024-01-02T18:30:00Z
2024-01-02 19:00:00,CNBC,news,Global supply chain disruptions continue to weigh on markets,0.534,4.0,292.51,4472.3,https://example.com/article/86,2024-01-02T19:00:00Z
2024-01-02 19:30:00,CNBC,news,Oil prices rise amid geopolitical tensions in the Middle East,-0.784,3.58,271.84,4380.55,https://example.com/article/87,2024-01-02T19:30:00Z
2024-01-02 20:00:00,Twitter,twitter,Housing market finally cooling. Buyers getting relief?,0.883,4.09,291.45,4579.74,https://example.com/article/88,2024-01-02T20:00:00Z
2024-01-02 20:30:00,CNBC,news,Stock markets rally as tech giants post strong earnings,0.701,5.3,258.47,4779.0,https://example.com/article/89,2024-01-02T20:30:00Z
2024-01-02 21:00:00,MarketWatch,news,Unemployment rate drops to lowest level in a decade,-0.143,4.61,285.42,3943.6,https://example.com/article/90,2024-01-02T21:00:00Z
2024-01-02 21:30:00,Twitter,twitter,Tech earnings smashing expectations!,-0.789,6.38,294.49,4577.32,https://example.com/article/91,2024-01-02T21:30:00Z
2024-01-02 22:00:00,Reuters,news,Consumer confidence hits record high,0.468,6.4,268.91,4550.66,https://example.com/article/92,2024-01-02T22:00:00Z
2024-01-02 22:30:00,Twitter,twitter,Tech earnings smashing expectations!,-0.129,5.69,268.79,4607.23,https://example.com/article/93,2024-01-02T22:30:00Z
2024-01-02 23:00:00,Financial Times,news,US housing market shows signs of cooling down,-0.512,4.89,292.72,3992.69,https://example.com/article/94,2024-01-02T23:00:00Z
2024-01-02 23:30:00,CNBC,news,Global supply chain disruptions continue to weigh on markets,-0.636,4.14,305.85,3942.44,https://example.com/article/95,2024-01-02T23:30:00Z
2024-01-03 00:00:00,Twitter,twitter,Gold going up means fear is back.,-0.98,6.34,255.99,4436.1,https://example.com/article/96,2024-01-03T00:00:00Z
2024-01-03 00:30:00,Twitter,twitter,Gold going up means fear is back.,0.516,5.57,295.21,4138.07,https://example.com/article/97,2024-01-03T00:30:00Z
2024-01-03 01:00:00,CNBC,news,Stock markets rally as tech giants post strong earnings,-0.557,5.58,271.43,4256.02,https://example.com/article/98,2024-01-03T01:00:00Z
2024-01-03 01:30:00,Twitter,twitter,Gold going up means fear is back.,0.062,4.78,302.22,3930.03,https://example.com/article/99,2024-01-03T01:30:00Z
2024-01-03 02:00:00,Twitter,twitter,SP500 breakout incoming ðŸ”¥,-0.387,4.19,300.49,3910.21,https://example.com/article/100,2024-01-03T02:00:00Z
2024-01-03 02:30:00,Reuters,news,Gold surges as investors seek safe haven assets,0.477,4.33,291.27,4488.27,https://example.com/article/101,2024-01-03T02:30:00Z
2024-01-03 03:00:00,Twitter,twitter,Not sure if the Fed cutting rates is good long term ðŸ¤”,0.665,4.39,275.26,3892.95,https://example.com/article/102,2024-01-03T03:00:00Z
2024-01-03 03:30:00,Bloomberg,news,US housing market shows signs of cooling down,0.949,5.16,298.82,3664.16,https://example.com/article/103,2024-01-03T03:30:00Z
2024-01-03 04:00:00,Twitter,twitter,Not sure if the Fed cutting rates is good long term ðŸ¤”,0.745,5.22,282.86,4072.61,https://example.com/article/104,2024-01-03T04:00:00Z
2024-01-03 04:30:00,CNBC,news,Federal Reserve signals possible interest rate cut next quarter,0.882,4.93,307.55,4020.92,https://example.com/article/105,2024-01-03T04:30:00Z
2024-01-03 05:00:00,Bloomberg,news,Crypto market sees renewed volatility,-0.697,5.93,316.44,3610.74,https://example.com/article/106,2024-01-03T05:00:00Z
2024-01-03 05:30:00,MarketWatch,news,Stock markets rally as tech giants post strong earnings,0.529,5.32,305.35,3793.39,https://example.com/article/107,2024-01-03T05:30:00Z
2024-01-03 06:00:00,Twitter,twitter,Tech earnings smashing expectations!,0.817,4.39,291.2,4057.48,https://example.com/article/108,2024-01-03T06:00:00Z
2024-01-03 06:30:00,Bloomberg,news,Crypto market sees renewed volatility,0.895,4.12,264.77,4358.56,https://example.com/article/109,2024-01-03T06:30:00Z
2024-01-03 07:00:00,Reuters,news,Gold surges as investors seek safe haven assets,0.104,3.97,278.6,4396.18,https://example.com/article/110,2024-01-03T07:00:00Z
2024-01-03 07:30:00,Twitter,twitter,SP500 breakout incoming ðŸ”¥,-0.935,4.36,269.79,4617.49,https://example.com/article/111,2024-01-03T07:30:00Z
2024-01-03 08:00:00,CNBC,news,Gold surges as investors seek safe haven assets,0.576,5.38,296.28,4713.77,https://example.com/article/112,2024-01-03T08:00:00Z
2024-01-03 08:30:00,Twitter,twitter,Not sure if the Fed cutting rates is good long term ðŸ¤”,0.089,5.44,313.59,4574.62,https://example.com/article/113,2024-01-03T08:30:00Z
2024-01-03 09:00:00,Reuters,news,Federal Reserve signals possible interest rate cut next quarter,0.585,5.29,307.7,4697.55,https://example.com/article/114,2024-01-03T09:00:00Z
2024-01-03 09:30:00,Twitter,twitter,Not sure if the Fed cutting rates is good long term ðŸ¤”,-0.063,4.41,278.18,3853.92,https://example.com/article/115,2024-01-03T09:30:00Z
2024-01-03 10:00:00,Twitter,twitter,Tech earnings smashing expectations!,-0.839,3.62,280.24,3919.02,https://example.com/article/116,2024-01-03T10:00:00Z
2024-01-03 10:30:00,Twitter,twitter,Markets looking bullish today ðŸš€ #stocks,-0.817,6.39,308.52,4247.76,https://example.com/article/117,2024-01-03T10:30:00Z
2024-01-03 11:00:00,MarketWatch,news,US housing market shows signs of cooling down,-0.92,5.77,282.94,4346.96,https://example.com/article/118,2024-01-03T11:00:00Z
2024-01-03 11:30:00,Twitter,twitter,Oil prices are climbing again. Expect higher gas prices soon.,0.994,4.81,307.0,4759.77,https://example.com/article/119,2024-01-03T11:30:00Z
2024-01-03 12:00:00,Twitter,twitter,"Unemployment down, but inflation is still high...",-0.183,4.46,257.32,3709.07,https://example.com/article/120,2024-01-03T12:00:00Z
2024-01-03 12:30:00,Twitter,twitter,Tech earnings smashing expectations!,-0.424,6.34,306.95,4215.13,https://example.com/article/121,2024-01-03T12:30:00Z
2024-01-03 13:00:00,Twitter,twitter,Not sure if the Fed cutting rates is good long term ðŸ¤”,-0.371,4.47,317.91,4025.43,https://example.com/article/122,2024-01-03T13:00:00Z
2024-01-03 13:30:00,Financial Times,news,Central bank warns of inflation risks,-0.174,4.06,275.32,4483.38,https://example.com/article/123,2024-01-03T13:30:00Z
2024-01-03 14:00:00,Twitter,twitter,Markets looking bullish today ðŸš€ #stocks,-0.593,5.15,314.94,4069.55,https://example.com/article/124,2024-01-03T14:00:00Z
